player_name,market_value,club,first_name,position,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,match_played
Militão,60.0,Real Madrid,Éder,Defender,76,19,6,13,32,12
Alaba,55.0,Real Madrid,David,Defender,49,18,12,6,28,12
Vallejo,3.0,Real Madrid,Jesús,Defender,2,0,0,0,2,2
Mendy,40.0,Real Madrid,Ferland,Defender,36,6,5,1,15,10
Gutiérrez,6.0,Real Madrid,Miguel,Defender,1,1,0,1,0,1
Marcelo,3.0,Real Madrid,Marcelo,Defender,4,0,0,0,3,3
Carvajal,18.0,Real Madrid,Daniel,Defender,50,12,6,6,30,11
Vázquez,12.0,Real Madrid,Lucas,Midfielder,13,2,0,2,6,8
Casemiro,40.0,Real Madrid,Casemiro,Midfielder,76,31,13,18,19,11
Valverde,70.0,Real Madrid,Federico,Midfielder,29,13,7,6,10,11
Camavinga,55.0,Real Madrid,Eduardo,Midfielder,19,17,9,8,6,10
Kroos,20.0,Real Madrid,Toni,Midfielder,37,11,5,6,4,12
Ceballos,14.0,Real Madrid,Dani,Midfielder,2,2,1,1,1,5
Hazard,12.0,Real Madrid,Eden,Forward,1,0,0,0,0,3
Rodrygo,60.0,Real Madrid,Rodrygo,Forward,14,2,1,1,3,11
Asensio,40.0,Real Madrid,Marco,Forward,3,1,0,1,1,8
Benzema,30.0,Real Madrid,Karim,Forward,6,1,1,0,10,12
Jović,16.0,Real Madrid,Luka,Forward,1,0,0,0,0,3
Van dijk,55.0,Liverpool,Virgil,Defender,62,3,2,1,29,9
Konaté,40.0,Liverpool,Ibrahima,Defender,53,16,11,5,17,8
Gomez,18.0,Liverpool,Joe,Defender,14,0,0,0,5,7
Matip,18.0,Liverpool,Joel,Defender,34,5,1,4,15,7
Phillips,8.0,Liverpool,Nat,Defender,5,1,1,0,3,2
Robertson,65.0,Liverpool,Andrew,Defender,44,4,3,1,14,10
Tsimikas,15.0,Liverpool,Konstantinos,Defender,26,2,1,1,10,5
Alexander-arnold,80.0,Liverpool,Trent,Defender,51,1,0,1,18,9
Williams,8.0,Liverpool,Neco,Defender,10,6,2,4,1,3
Fabinho,60.0,Liverpool,Fabinho,Midfielder,74,23,9,14,8,13
Morton,3.0,Liverpool,Tyler,Midfielder,9,5,4,1,2,2
Jones,28.0,Liverpool,Curtis,Midfielder,6,0,0,0,1,4
Keïta,25.0,Liverpool,Naby,Midfielder,21,8,2,6,7,10
Alcántara,20.0,Liverpool,Thiago,Midfielder,40,16,11,5,5,10
Oxlade-chamberlain,16.0,Liverpool,Alex,Midfielder,17,1,1,0,4,6
Henderson,15.0,Liverpool,Jordan,Midfielder,29,3,1,2,1,12
Milner,2.0,Liverpool,James,Midfielder,5,6,3,3,6,8
Mané,70.0,Liverpool,Sadio,Midfielder,9,4,1,3,1,13
Díaz,65.0,Liverpool,Luis,Forward,16,8,3,5,2,13
Minamino,12.0,Liverpool,Takumi,Forward,6,2,0,2,0,4
